"/mnt/pmem0/scheinost/benchmark.db","10000","1","46043.9"
"Loading","benchmark.db","100000","wal-only","72921","ms"
"Benchmark","benchmark.db","100000","wal-only","41962.1","tps"
"Benchmark","benchmark.db","100000","wal-only","42045.5","tps"
"Benchmark","benchmark.db","100000","wal-only","41812.8","tps"
"Loading","benchmark.db","100000","false","73011","ms"
"Benchmark","benchmark.db","100000","false","41144.4","tps"
"Benchmark","benchmark.db","100000","false","40776.1","tps"
"Benchmark","benchmark.db","100000","false","41035.7","tps"
"Loading","benchmark.db","100000","wal-true","72796","ms"
"Benchmark","benchmark.db","100000","wal-true","40849.2","tps"
"Benchmark","benchmark.db","100000","wal-true","40989.2","tps"
"Benchmark","benchmark.db","100000","wal-true","40820.2","tps"
"Loading","benchmark.db","500000","wal-only","364119","ms"
"Benchmark","benchmark.db","500000","wal-only","39889","tps"
"Benchmark","benchmark.db","500000","wal-only","40003.5","tps"
"Benchmark","benchmark.db","500000","wal-only","39836","tps"
"Loading","benchmark.db","500000","false","363621","ms"
"Benchmark","benchmark.db","500000","false","37111.8","tps"
"Benchmark","benchmark.db","500000","false","37102.8","tps"
"Benchmark","benchmark.db","500000","false","37154","tps"
"Loading","benchmark.db","500000","wal-true","363353","ms"
"Benchmark","benchmark.db","500000","wal-true","37228","tps"
"Benchmark","benchmark.db","500000","wal-true","37010.4","tps"
"Benchmark","benchmark.db","500000","wal-true","37046.1","tps"
"Loading","benchmark.db","10000","wal-only","8180","ms"
"Benchmark","benchmark.db","10000","wal-only","42221.5","tps"
"Benchmark","benchmark.db","10000","wal-only","45366.6","tps"
"Benchmark","benchmark.db","10000","wal-only","45175.8","tps"
"Loading","benchmark.db","10000","false","7279","ms"
"Benchmark","benchmark.db","10000","false","46511.8","tps"
"Benchmark","benchmark.db","10000","false","46625.9","tps"
"Benchmark","benchmark.db","10000","false","46702.6","tps"
"Loading","/mnt/pmem0/scheinost/benchmark.db","10000","true","7269","ms"
"Benchmark","/mnt/pmem0/scheinost/benchmark.db","10000","true","45541.8","tps"
"Benchmark","/mnt/pmem0/scheinost/benchmark.db","10000","true","45398.5","tps"
"Benchmark","/mnt/pmem0/scheinost/benchmark.db","10000","true","45610.1","tps"
"Loading","benchmark.db","100000","wal-only","73247","ms"
"Benchmark","benchmark.db","100000","wal-only","42207.3","tps"
"Benchmark","benchmark.db","100000","wal-only","42182.1","tps"
"Benchmark","benchmark.db","100000","wal-only","41955","tps"
"Loading","benchmark.db","100000","false","72573","ms"
"Benchmark","benchmark.db","100000","false","40990.6","tps"
"Benchmark","benchmark.db","100000","false","40870.4","tps"
