"benchmark","logging_algorithm","database","VFS","phase","scale_factor","value","unit","test-specific-info","threads","bloom_filter"
______________________________________________________
			New test run
______________________________________________________
"SSB","SQLite","SQLite","PMem","evaluation","1","0.331158","s","q3.2","1","1"
"SSB","SQLite","SQLite","PMem","evaluation","1","0.304202","s","q3.3","1","1"
"SSB","SQLite","SQLite","PMem","evaluation","1","0.309645","s","q3.4","1","1"
"SSB","SQLite","SQLite","PMem","evaluation","1","0.614624","s","q4.1","1","1"
"SSB","SQLite","SQLite","PMem","evaluation","1","0.587896","s","q4.2","1","1"
"SSB","SQLite","SQLite","PMem","evaluation","1","0.475197","s","q4.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.08856","s","q1.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","0.75122","s","q1.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","0.608862","s","q1.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","13.3986","s","q2.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","13.0278","s","q2.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","12.7969","s","q2.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","5.2393","s","q3.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.75115","s","q3.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.59421","s","q3.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.61023","s","q3.4","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","5.62341","s","q4.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.28965","s","q4.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.14442","s","q4.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","1.07411","s","q1.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","0.761672","s","q1.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","0.607392","s","q1.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","13.7912","s","q2.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","13.2908","s","q2.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","12.9797","s","q2.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","5.28938","s","q3.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.81246","s","q3.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.68442","s","q3.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.67917","s","q3.4","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","5.60524","s","q4.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.29811","s","q4.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.1833","s","q4.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","1.05154","s","q1.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","0.748107","s","q1.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","0.607914","s","q1.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","13.715","s","q2.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","13.0629","s","q2.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","12.8553","s","q2.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","5.23695","s","q3.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.79504","s","q3.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.64484","s","q3.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.65046","s","q3.4","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","5.56689","s","q4.1","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.29234","s","q4.2","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","3.14713","s","q4.3","1","0"
"SSB","SQLite","SQLite","unix","evaluation","1","1.07767","s","q1.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.47549","s","q1.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.447054","s","q1.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.674162","s","q2.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.486127","s","q2.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.424091","s","q2.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.55867","s","q3.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.441411","s","q3.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.389321","s","q3.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.383139","s","q3.4","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.11694","s","q4.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.827706","s","q4.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.573683","s","q4.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.07181","s","q1.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.469799","s","q1.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.444978","s","q1.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.672726","s","q2.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.503423","s","q2.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.421618","s","q2.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.55057","s","q3.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.439964","s","q3.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.387304","s","q3.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.383473","s","q3.4","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.1109","s","q4.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.827523","s","q4.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.570024","s","q4.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.07735","s","q1.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.471837","s","q1.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.447307","s","q1.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.668507","s","q2.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.485347","s","q2.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.425301","s","q2.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.55984","s","q3.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.441296","s","q3.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.388062","s","q3.3","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.386127","s","q3.4","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","1.11615","s","q4.1","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.830787","s","q4.2","1","1"
"SSB","SQLite","SQLite","unix","evaluation","1","0.572223","s","q4.3","1","1"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.535488","s","q1.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.445151","s","q1.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.404888","s","q1.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","4.22951","s","q2.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","4.1106","s","q2.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","3.99154","s","q2.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.98289","s","q3.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.347","s","q3.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.34574","s","q3.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.34461","s","q3.4","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.99203","s","q4.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.313","s","q4.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","1.25671","s","q4.3","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.536075","s","q1.1","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.446102","s","q1.2","1","0"
"SSB","SQLite","msc-dense","PMem","evaluation","1","0.404193","s","q1.3","1","0"
