"benchmark","database","VFS","phase","scale_factor","value","unit","test-specific-info","threads"
n______________________________________________________
			New test run
______________________________________________________
"SSB-0","SQLite","PMem","evaluation"1","0.877007","s","q3.1","1"
"SSB-0","SQLite","PMem","evaluation"1","0.341312","s","q3.2","1"
"SSB-0","SQLite","PMem","evaluation"1","0.315532","s","q3.3","1"
"SSB-0","SQLite","PMem","evaluation"1","0.315136","s","q3.4","1"
"SSB-0","SQLite","PMem","evaluation"1","0.639117","s","q4.1","1"
"SSB-0","SQLite","PMem","evaluation"1","0.614002","s","q4.2","1"
"SSB-0","SQLite","PMem","evaluation"1","0.503342","s","q4.3","1"
"SSB-524288","SQLite","unix","evaluation"1","1.12951","s","q1.1","1"
"SSB-524288","SQLite","unix","evaluation"1","0.787471","s","q1.2","1"
"SSB-524288","SQLite","unix","evaluation"1","0.632891","s","q1.3","1"
"SSB-524288","SQLite","unix","evaluation"1","13.6759","s","q2.1","1"
"SSB-524288","SQLite","unix","evaluation"1","13.2704","s","q2.2","1"
"SSB-524288","SQLite","unix","evaluation"1","13.0458","s","q2.3","1"
"SSB-524288","SQLite","unix","evaluation"1","5.46012","s","q3.1","1"
"SSB-524288","SQLite","unix","evaluation"1","3.86811","s","q3.2","1"
"SSB-524288","SQLite","unix","evaluation"1","3.72955","s","q3.3","1"
"SSB-524288","SQLite","unix","evaluation"1","3.73176","s","q3.4","1"
"SSB-524288","SQLite","unix","evaluation"1","5.76953","s","q4.1","1"
"SSB-524288","SQLite","unix","evaluation"1","3.40806","s","q4.2","1"
"SSB-524288","SQLite","unix","evaluation"1","3.2855","s","q4.3","1"
"SSB-524288","SQLite","unix","evaluation"1","1.10883","s","q1.1","1"
"SSB-524288","SQLite","unix","evaluation"1","0.777275","s","q1.2","1"
"SSB-524288","SQLite","unix","evaluation"1","0.62865","s","q1.3","1"
"SSB-524288","SQLite","unix","evaluation"1","13.9608","s","q2.1","1"
"SSB-524288","SQLite","unix","evaluation"1","13.3773","s","q2.2","1"
"SSB-524288","SQLite","unix","evaluation"1","13.1948","s","q2.3","1"
"SSB-524288","SQLite","unix","evaluation"1","5.39789","s","q3.1","1"
"SSB-524288","SQLite","unix","evaluation"1","3.89164","s","q3.2","1"
"SSB-524288","SQLite","unix","evaluation"1","3.76307","s","q3.3","1"
"SSB-524288","SQLite","unix","evaluation"1","3.75279","s","q3.4","1"
"SSB-524288","SQLite","unix","evaluation"1","5.74708","s","q4.1","1"
"SSB-524288","SQLite","unix","evaluation"1","3.39176","s","q4.2","1"
"SSB-524288","SQLite","unix","evaluation"1","3.28187","s","q4.3","1"
"SSB-524288","SQLite","unix","evaluation"1","1.10514","s","q1.1","1"
"SSB-524288","SQLite","unix","evaluation"1","0.773179","s","q1.2","1"
"SSB-524288","SQLite","unix","evaluation"1","0.629041","s","q1.3","1"
"SSB-524288","SQLite","unix","evaluation"1","13.9563","s","q2.1","1"
"SSB-524288","SQLite","unix","evaluation"1","13.3079","s","q2.2","1"
"SSB-524288","SQLite","unix","evaluation"1","13.1083","s","q2.3","1"
"SSB-524288","SQLite","unix","evaluation"1","5.35024","s","q3.1","1"
"SSB-524288","SQLite","unix","evaluation"1","3.86345","s","q3.2","1"
"SSB-524288","SQLite","unix","evaluation"1","3.73621","s","q3.3","1"
"SSB-524288","SQLite","unix","evaluation"1","3.73427","s","q3.4","1"
"SSB-524288","SQLite","unix","evaluation"1","5.7108","s","q4.1","1"
"SSB-524288","SQLite","unix","evaluation"1","3.40448","s","q4.2","1"
"SSB-524288","SQLite","unix","evaluation"1","3.26417","s","q4.3","1"
"SSB-0","SQLite","unix","evaluation"1","1.11034","s","q1.1","1"
"SSB-0","SQLite","unix","evaluation"1","0.491929","s","q1.2","1"
"SSB-0","SQLite","unix","evaluation"1","0.46295","s","q1.3","1"
"SSB-0","SQLite","unix","evaluation"1","0.735218","s","q2.1","1"
"SSB-0","SQLite","unix","evaluation"1","0.508266","s","q2.2","1"
"SSB-0","SQLite","unix","evaluation"1","0.45263","s","q2.3","1"
"SSB-0","SQLite","unix","evaluation"1","1.5913","s","q3.1","1"
"SSB-0","SQLite","unix","evaluation"1","0.471389","s","q3.2","1"
"SSB-0","SQLite","unix","evaluation"1","0.413505","s","q3.3","1"
"SSB-0","SQLite","unix","evaluation"1","0.412099","s","q3.4","1"
"SSB-0","SQLite","unix","evaluation"1","1.13468","s","q4.1","1"
"SSB-0","SQLite","unix","evaluation"1","0.85126","s","q4.2","1"
"SSB-0","SQLite","unix","evaluation"1","0.602643","s","q4.3","1"
"SSB-0","SQLite","unix","evaluation"1","1.13532","s","q1.1","1"
"SSB-0","SQLite","unix","evaluation"1","0.495336","s","q1.2","1"
"SSB-0","SQLite","unix","evaluation"1","0.463527","s","q1.3","1"
"SSB-0","SQLite","unix","evaluation"1","0.688003","s","q2.1","1"
